============ HP Table =============
-------------- Class Adventurer --------------
Level 53 - HP: 5863
Level 54 - HP: 6080
Level 55 - HP: 6301
Level 56 - HP: 6526
Level 57 - HP: 6755
Level 58 - HP: 6871
Level 59 - HP: 7106
Level 60 - HP: 7345
Level 61 - HP: 7588
Level 62 - HP: 7835
Level 63 - HP: 7960
Level 64 - HP: 8213
Level 65 - HP: 8470
Level 66 - HP: 8731
Level 67 - HP: 8996
Level 68 - HP: 9130
Level 69 - HP: 9401
Level 70 - HP: 9676
Level 71 - HP: 9955
Level 72 - HP: 10238
Level 73 - HP: 10381
Level 74 - HP: 10670
Level 75 - HP: 10963
Level 76 - HP: 11260
Level 77 - HP: 11561
Level 78 - HP: 11713
Level 79 - HP: 12020
Level 80 - HP: 12331
Level 81 - HP: 12646
Level 82 - HP: 12965
Level 83 - HP: 13126
Level 84 - HP: 13451
Level 85 - HP: 13780
Level 86 - HP: 14113
Level 87 - HP: 14450
Level 88 - HP: 14620
Level 89 - HP: 14963
Level 90 - HP: 15310
Level 91 - HP: 15661
Level 92 - HP: 16016
Level 93 - HP: 16195
Level 94 - HP: 16556
Level 95 - HP: 16921
Level 96 - HP: 17290
Level 97 - HP: 17663
Level 98 - HP: 17851
Level 99 - HP: 18230

-------------- Class Archer --------------
Level 1  - HP: 680
Level 2  - HP: 680
Level 3  - HP: 680
Level 4  - HP: 680
Level 5  - HP: 680
Level 6  - HP: 680
Level 7  - HP: 680
Level 8  - HP: 680
Level 9  - HP: 680
Level 10 - HP: 680
Level 11 - HP: 680
Level 12 - HP: 680
Level 13 - HP: 680
Level 14 - HP: 680
Level 15 - HP: 680
Level 16 - HP: 680
Level 17 - HP: 715
Level 18 - HP: 751
Level 19 - HP: 826
Level 20 - HP: 865
Level 21 - HP: 905
Level 22 - HP: 988
Level 23 - HP: 1031
Level 24 - HP: 1075
Level 25 - HP: 1120
Level 26 - HP: 1213
Level 27 - HP: 1261
Level 28 - HP: 1310
Level 29 - HP: 1411
Level 30 - HP: 1463
Level 31 - HP: 1516
Level 32 - HP: 1625
Level 33 - HP: 1681
Level 34 - HP: 1738
Level 35 - HP: 1796
Level 36 - HP: 1915
Level 37 - HP: 1976
Level 38 - HP: 2038
Level 39 - HP: 2165
Level 40 - HP: 2230
Level 41 - HP: 2296
Level 42 - HP: 2431
Level 43 - HP: 2500
Level 44 - HP: 2570
Level 45 - HP: 2641
Level 46 - HP: 2786
Level 47 - HP: 2860
Level 48 - HP: 2935
Level 49 - HP: 3088
Level 50 - HP: 3166
Level 51 - HP: 3245
Level 52 - HP: 3406
Level 53 - HP: 3488
Level 54 - HP: 3571
Level 55 - HP: 3655
Level 56 - HP: 3826
Level 57 - HP: 3913
Level 58 - HP: 4001
Level 59 - HP: 4180
Level 60 - HP: 4271
Level 61 - HP: 4363
Level 62 - HP: 4550
Level 63 - HP: 4645
Level 64 - HP: 4741
Level 65 - HP: 4838
Level 66 - HP: 5035
Level 67 - HP: 5135
Level 68 - HP: 5236
Level 69 - HP: 5441
Level 70 - HP: 5545
Level 71 - HP: 5650
Level 72 - HP: 5863
Level 73 - HP: 5971
Level 74 - HP: 6080
Level 75 - HP: 6190
Level 76 - HP: 6413
Level 77 - HP: 6526
Level 78 - HP: 6640
Level 79 - HP: 6871
Level 80 - HP: 6988
Level 81 - HP: 7106
Level 82 - HP: 7345
Level 83 - HP: 7466
Level 84 - HP: 7588
Level 85 - HP: 7711
Level 86 - HP: 7960
Level 87 - HP: 8086
Level 88 - HP: 8213
Level 89 - HP: 8470
Level 90 - HP: 8600
Level 91 - HP: 8731
Level 92 - HP: 8996
Level 93 - HP: 9130
Level 94 - HP: 9265
Level 95 - HP: 9401
Level 96 - HP: 9676
Level 97 - HP: 9815
Level 98 - HP: 9955
Level 99 - HP: 10238

-------------- Class Magician --------------
Level 1  - HP: 325
Level 2  - HP: 357
Level 3  - HP: 391
Level 4  - HP: 427
Level 5  - HP: 465
Level 6  - HP: 505
Level 7  - HP: 547
Level 8  - HP: 591
Level 9  - HP: 637
Level 10 - HP: 685
Level 11 - HP: 735
Level 12 - HP: 787
Level 13 - HP: 841
Level 14 - HP: 897
Level 15 - HP: 955
Level 16 - HP: 1015
Level 17 - HP: 1077
Level 18 - HP: 1141
Level 19 - HP: 1207
Level 20 - HP: 1275
Level 21 - HP: 1345
Level 22 - HP: 1417
Level 23 - HP: 1491
Level 24 - HP: 1567
Level 25 - HP: 1645
Level 26 - HP: 1725
Level 27 - HP: 1807
Level 28 - HP: 1891
Level 29 - HP: 1977
Level 30 - HP: 2065
Level 31 - HP: 2155
Level 32 - HP: 2247
Level 33 - HP: 2341
Level 34 - HP: 2437
Level 35 - HP: 2535
Level 36 - HP: 2635
Level 37 - HP: 2737
Level 38 - HP: 2841
Level 39 - HP: 2947
Level 40 - HP: 3055
Level 41 - HP: 3165
Level 42 - HP: 3277
Level 43 - HP: 3391
Level 44 - HP: 3507
Level 45 - HP: 3625
Level 46 - HP: 3745
Level 47 - HP: 3867
Level 48 - HP: 3991
Level 49 - HP: 4117
Level 50 - HP: 4245
Level 51 - HP: 4375
Level 52 - HP: 4507
Level 53 - HP: 4641
Level 54 - HP: 4777
Level 55 - HP: 4915
Level 56 - HP: 5055
Level 57 - HP: 5197
Level 58 - HP: 5341
Level 59 - HP: 5487
Level 60 - HP: 5635
Level 61 - HP: 5785
Level 62 - HP: 5937
Level 63 - HP: 6091
Level 64 - HP: 6247
Level 65 - HP: 6405
Level 66 - HP: 6565
Level 67 - HP: 6727
Level 68 - HP: 6891
Level 69 - HP: 7057
Level 70 - HP: 7225
Level 71 - HP: 7395
Level 72 - HP: 7567
Level 73 - HP: 7741
Level 74 - HP: 7917
Level 75 - HP: 8095
Level 76 - HP: 8275
Level 77 - HP: 8457
Level 78 - HP: 8641
Level 79 - HP: 8827
Level 80 - HP: 9015
Level 81 - HP: 9205
Level 82 - HP: 9397
Level 83 - HP: 9591
Level 84 - HP: 9787
Level 85 - HP: 9985
Level 86 - HP: 10185
Level 87 - HP: 10387
Level 88 - HP: 10591
Level 89 - HP: 10797
Level 90 - HP: 11005
Level 91 - HP: 11215
Level 92 - HP: 11427
Level 93 - HP: 11641
Level 94 - HP: 11857
Level 95 - HP: 12075
Level 96 - HP: 12295
Level 97 - HP: 12517
Level 98 - HP: 12741
Level 99 - HP: 12967

-------------- Class MartialArtist --------------
Level 1  - HP: 946
Level 2  - HP: 946
Level 3  - HP: 946
Level 4  - HP: 946
Level 5  - HP: 946
Level 6  - HP: 946
Level 7  - HP: 946
Level 8  - HP: 946
Level 9  - HP: 946
Level 10 - HP: 946
Level 11 - HP: 946
Level 12 - HP: 946
Level 13 - HP: 946
Level 14 - HP: 946
Level 15 - HP: 946
Level 16 - HP: 946
Level 17 - HP: 1031
Level 18 - HP: 1075
Level 19 - HP: 1166
Level 20 - HP: 1261
Level 21 - HP: 1360
Level 22 - HP: 1463
Level 23 - HP: 1516
Level 24 - HP: 1625
Level 25 - HP: 1738
Level 26 - HP: 1855
Level 27 - HP: 1976
Level 28 - HP: 2038
Level 29 - HP: 2165
Level 30 - HP: 2296
Level 31 - HP: 2431
Level 32 - HP: 2570
Level 33 - HP: 2641
Level 34 - HP: 2786
Level 35 - HP: 2935
Level 36 - HP: 3088
Level 37 - HP: 3245
Level 38 - HP: 3325
Level 39 - HP: 3488
Level 40 - HP: 3655
Level 41 - HP: 3826
Level 42 - HP: 4001
Level 43 - HP: 4090
Level 44 - HP: 4271
Level 45 - HP: 4456
Level 46 - HP: 4645
Level 47 - HP: 4838
Level 48 - HP: 4936
Level 49 - HP: 5135
Level 50 - HP: 5338
Level 51 - HP: 5545
Level 52 - HP: 5756
Level 53 - HP: 5863
Level 54 - HP: 6080
Level 55 - HP: 6301
Level 56 - HP: 6526
Level 57 - HP: 6755
Level 58 - HP: 6871
Level 59 - HP: 7106
Level 60 - HP: 7345
Level 61 - HP: 7588
Level 62 - HP: 7835
Level 63 - HP: 7960
Level 64 - HP: 8213
Level 65 - HP: 8470
Level 66 - HP: 8731
Level 67 - HP: 8996
Level 68 - HP: 9130
Level 69 - HP: 9401
Level 70 - HP: 9676
Level 71 - HP: 9955
Level 72 - HP: 10238
Level 73 - HP: 10381
Level 74 - HP: 10670
Level 75 - HP: 10963
Level 76 - HP: 11260
Level 77 - HP: 11561
Level 78 - HP: 11713
Level 79 - HP: 12020
Level 80 - HP: 12331
Level 81 - HP: 12646
Level 82 - HP: 12965
Level 83 - HP: 13126
Level 84 - HP: 13451
Level 85 - HP: 13780
Level 86 - HP: 14113
Level 87 - HP: 14450
Level 88 - HP: 14620
Level 89 - HP: 14963
Level 90 - HP: 15310
Level 91 - HP: 15661
Level 92 - HP: 16016
Level 93 - HP: 16195
Level 94 - HP: 16556
Level 95 - HP: 16921
Level 96 - HP: 17290
Level 97 - HP: 17663
Level 98 - HP: 17851
Level 99 - HP: 18230
